YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6559.6,0.20971913,1282.186,1600.0,0.0
1,150.0,142.0,0.0,0.0,0.0,0.0,0.0
2,151.0,142.0,0.0,0.0,0.0,0.0,0.0
3,152.0,142.0,0.0,0.0,0.0,0.0,0.0
4,153.0,142.0,6560.2,0.26466647,1342.1743,1600.0,0.0
5,154.0,142.0,6559.8,0.25727782,1293.888,1600.0,0.0
6,155.0,142.0,0.0,0.0,0.0,0.0,0.0
7,156.0,142.0,0.0,0.0,0.0,0.0,0.0
8,157.0,142.0,0.0,0.0,0.0,0.0,0.0
9,158.0,142.0,0.0,0.0,0.0,0.0,0.0
10,159.0,142.0,0.0,0.0,0.0,0.0,0.0
11,160.0,142.0,0.0,0.0,0.0,0.0,0.0
12,161.0,142.0,0.0,0.0,0.0,0.0,0.0
13,162.0,142.0,6560.6,0.22321418,1745.0593,1600.0,0.0
14,163.0,142.0,0.0,0.0,0.0,0.0,0.0
15,164.0,142.0,6561.2,0.13933015,2086.5128,1600.0,0.0
16,165.0,142.0,6561.4,0.20597107,1990.732,1600.0,0.0
17,166.0,142.0,0.0,0.0,0.0,0.0,0.0
18,167.0,142.0,6561.6,0.17107105,2099.9978,1600.0,0.0
19,168.0,142.0,0.0,0.0,0.0,0.0,0.0
20,169.0,142.0,0.0,0.0,0.0,0.0,0.0
21,170.0,142.0,0.0,0.0,0.0,0.0,0.0
22,171.0,142.0,0.0,0.0,0.0,0.0,0.0
23,172.0,142.0,0.0,0.0,0.0,0.0,0.0
24,173.0,142.0,0.0,0.0,0.0,0.0,0.0
25,174.0,142.0,0.0,0.0,0.0,0.0,0.0
26,148.0,143.0,0.0,0.0,0.0,0.0,0.0
27,149.0,143.0,0.0,0.0,0.0,0.0,0.0
28,150.0,143.0,0.0,0.0,0.0,0.0,0.0
29,151.0,143.0,6559.6,0.27283745,1466.0087,1600.0,0.0
30,152.0,143.0,0.0,0.0,0.0,0.0,0.0
31,153.0,143.0,0.0,0.0,0.0,0.0,0.0
32,154.0,143.0,0.0,0.0,0.0,0.0,0.0
