#YY	XX	wav	flux		flux_err	fwhm		vel
149	142	6559.60	0.20971913	1282.1860	1600.0000	0.0000000
150	142	0.0	0.0		0.0		0.0		0.0
151	142	0.0	0.0		0.0		0.0		0.0
152	142	0.0	0.0		0.0		0.0		0.0
153	142	6560.20	0.26466647	1342.1743	1600.0000	0.0000000
154	142	6559.80	0.25727782	1293.8880	1600.0000	0.0000000
155 	142	0.0	0.0		0.0		0.0		0.0
156 	142	0.0	0.0		0.0		0.0		0.0
157 	142	0.0	0.0		0.0		0.0		0.0
158 	142	0.0	0.0		0.0		0.0		0.0
159 	142	0.0	0.0		0.0		0.0		0.0
160 	142	0.0	0.0		0.0		0.0		0.0
161 	142	0.0	0.0		0.0		0.0		0.0
162	142     6560.60	0.22321418	1745.0593	1600.0000	0.0000000
163 	142	0.0	0.0		0.0		0.0		0.0
164	142	6561.20	0.13933015	2086.5128	1600.0000	0.0000000
165	142	6561.40	0.20597107	1990.7320	1600.0000	0.0000000
166 	142	0.0	0.0		0.0		0.0		0.0
167	142	6561.60	0.17107105	2099.9978	1600.0000	0.0000000
168 	142	0.0	0.0		0.0		0.0		0.0
169 	142	0.0	0.0		0.0		0.0		0.0
170 	142	0.0	0.0		0.0		0.0		0.0
171 	142	0.0	0.0		0.0		0.0		0.0
172 	142	0.0	0.0		0.0		0.0		0.0
173 	142	0.0	0.0		0.0		0.0		0.0
174 	142	0.0	0.0		0.0		0.0		0.0
148 	143	0.0	0.0		0.0		0.0		0.0
149 	143	0.0	0.0		0.0		0.0		0.0
150 	143	0.0	0.0		0.0		0.0		0.0
151	143	6559.60	0.27283745	1466.0087	1600.0000	0.0000000
152 	143	0.0	0.0		0.0		0.0		0.0
153 	143	0.0	0.0		0.0		0.0		0.0
154 	143	0.0	0.0		0.0		0.0		0.0
155 	143	0.0	0.0		0.0		0.0		0.0
156 	143	0.0	0.0		0.0		0.0		0.0
157 	143	0.0	0.0		0.0		0.0		0.0
158 	143	0.0	0.0		0.0		0.0		0.0
159 	143	0.0	0.0		0.0		0.0		0.0
160 	143	0.0	0.0		0.0		0.0		0.0
161 	143	0.0	0.0		0.0		0.0		0.0
162 	143	0.0	0.0		0.0		0.0		0.0
163 	143	0.0	0.0		0.0		0.0		0.0
164 	143	0.0	0.0		0.0		0.0		0.0
165 	143	0.0	0.0		0.0		0.0		0.0
166 	143	0.0	0.0		0.0		0.0		0.0
167	143	6562.00	0.14785380	2550.3036	1600.0000	0.0000000
168 	143	0.0	0.0		0.0		0.0		0.0
169 	143	0.0	0.0		0.0		0.0		0.0
170 	143	0.0	0.0		0.0		0.0		0.0
171 	143	0.0	0.0		0.0		0.0		0.0
172	143	6562.20	0.23228313	2631.3540	1600.0000	0.0000000
173	143	6562.20	0.15071653	2788.9054	1600.0000	0.0000000
174	143	6562.20	0.23228313	2631.3540	1600.0000	0.0000000
148	144	6559.80	0.28232820	1783.6941	1600.0000	0.0000000
149	144	6559.80	0.27931021	1643.8316	1600.0000	0.0000000
150	144	6559.50	0.21174861	1565.0487	1600.0000	0.0000000
151 	144	0.0	0.0		0.0		0.0		0.0
152 	144	0.0	0.0		0.0		0.0		0.0
153 	144	0.0	0.0		0.0		0.0		0.0
154 	144	0.0	0.0		0.0		0.0		0.0
155 	144	0.0	0.0		0.0		0.0		0.0
156 	144	0.0	0.0		0.0		0.0		0.0
157 	144	0.0	0.0		0.0		0.0		0.0
158 	144	0.0	0.0		0.0		0.0		0.0
159 	144	0.0	0.0		0.0		0.0		0.0
160 	144	0.0	0.0		0.0		0.0		0.0
161 	144	0.0	0.0		0.0		0.0		0.0
162	144	6560.20	0.29258731	1301.0131	1600.0000	0.0000000
163 	144	0.0	0.0		0.0		0.0		0.0
164 	144	0.0	0.0		0.0		0.0		0.0
165 	144	0.0	0.0		0.0		0.0		0.0
166	144	6562.00	0.12587741	4052.4292	1600.0000	0.0000000
167 	144	0.0	0.0		0.0		0.0		0.0
168 	144	0.0	0.0		0.0		0.0		0.0
169	144	6562.20	0.22743230	2482.9016	1600.0000	0.0000000
170 	144	0.0	0.0		0.0		0.0		0.0
171 	144	0.0	0.0		0.0		0.0		0.0
172 	144	0.0	0.0		0.0		0.0		0.0
173 	144	0.0	0.0		0.0		0.0		0.0
