YY,XX,wav,flux,flux_err,fwhm,vel
0,149.0,142.0,6576.6,0.062670892,456.47258,392.52607,0.0
1,150.0,142.0,6553.0,0.49018397,1811.6654,-237.86544,289.84187
2,151.0,142.0,6576.6,0.05815023,391.18756,323.61554,0.0
3,152.0,142.0,6576.8,0.02864594,394.75138,330.656,0.0
4,153.0,142.0,6576.8,0.040103031,466.93526,401.12962,0.0
5,154.0,142.0,6576.8,0.036335176,506.20172,416.35129,0.0
6,155.0,142.0,6576.8,0.080224214,465.00444,356.12793,0.0
7,156.0,142.0,6576.8,0.078429969,497.54007,415.11647,0.0
8,157.0,142.0,6576.8,0.062078591,544.91395,414.57235,0.0
9,158.0,142.0,6576.8,0.1060074,523.62544,-432.22136,0.0
10,159.0,142.0,6576.8,0.11581777,486.28435,409.45722,0.0
11,160.0,142.0,6579.9,0.19986884,644.64183,375.57881,0.0
12,161.0,142.0,6579.9,0.17820306,695.38801,374.58731,0.0
13,162.0,142.0,6577.0,0.055251381,667.96499,428.11107,0.0
14,163.0,142.0,6577.0,0.072762815,751.23027,434.99931,0.0
15,164.0,142.0,6580.0,0.10241627,1081.1502,443.42621,0.0
16,165.0,142.0,6580.8,0.11820674,1227.1766,443.36488,0.0
17,166.0,142.0,6580.3,0.087505531,1228.7912,-433.61805,0.0
18,167.0,142.0,6581.0,0.083461507,1349.3358,440.87479,0.0
19,168.0,142.0,6580.5,0.060534691,1390.064,428.83392,0.0
20,169.0,142.0,6578.7,0.033695032,1009.5502,-409.70644,0.0
21,170.0,142.0,6577.2,0.0068385304,1110.5875,468.3796,0.0
22,171.0,142.0,6577.4,0.0086626199,1099.204,465.5308,0.0
23,172.0,142.0,0.0,0.0,0.0,0.0,0.0
24,173.0,142.0,0.0,0.0,0.0,0.0,0.0
25,174.0,142.0,6578.4,0.0074160244,1072.3126,414.48554,0.0
26,148.0,143.0,0.0,0.0,0.0,0.0,0.0
27,149.0,143.0,6576.0,0.046848155,393.17313,387.55719,0.0
28,150.0,143.0,6575.6,0.020605741,461.90953,-448.56608,0.0
29,151.0,143.0,6576.2,0.030241857,430.74331,426.67664,0.0
30,152.0,143.0,6576.6,0.019170076,366.44204,356.19596,0.0
31,153.0,143.0,6576.8,0.031219408,354.05719,335.21325,0.0
32,154.0,143.0,6575.8,0.074923039,335.651,334.16619,0.0
33,155.0,143.0,6576.8,0.070062658,410.43701,391.04256,0.0
34,156.0,143.0,6579.8,0.038579253,764.73042,383.50553,0.0
35,157.0,143.0,6579.3,0.24262743,547.83147,404.10348,0.0
36,158.0,143.0,6578.3,0.11555591,511.13248,-405.2105,0.0
37,159.0,143.0,6578.8,0.18845516,511.0138,384.94891,0.0
38,160.0,143.0,6578.6,0.16575649,480.48703,364.47622,0.0
39,161.0,143.0,6577.8,0.15663381,486.54109,388.15962,0.0
40,162.0,143.0,6577.0,0.052366966,252.07181,137.86181,0.0
41,163.0,143.0,6580.0,0.13816891,848.20674,-413.86187,0.0
42,164.0,143.0,0.0,0.0,0.0,0.0,0.0
43,165.0,143.0,0.0,0.0,0.0,0.0,0.0
44,166.0,143.0,6577.0,0.073482847,791.60885,452.80244,0.0
45,167.0,143.0,6577.2,0.048236112,920.80874,449.3493,0.0
46,168.0,143.0,0.0,0.0,0.0,0.0,0.0
47,169.0,143.0,0.0,0.0,0.0,0.0,0.0
48,170.0,143.0,0.0,0.0,0.0,0.0,0.0
49,171.0,143.0,0.0,0.0,0.0,0.0,0.0
50,172.0,143.0,6577.2,0.013367138,1104.5938,511.04257,0.0
51,173.0,143.0,6577.4,0.029217774,1175.1547,488.81749,0.0
52,174.0,143.0,6578.2,0.010389157,1084.8943,444.54562,0.0
53,148.0,144.0,6575.2,0.055897003,436.21755,-491.26913,0.0
54,149.0,144.0,6575.2,0.11927023,416.65772,484.9442,0.0
55,150.0,144.0,6575.4,0.086873013,411.34094,463.60608,0.0
56,151.0,144.0,6575.6,0.052347336,392.16142,-454.76039,0.0
57,152.0,144.0,6576.2,0.059701282,378.4622,434.47332,0.0
58,153.0,144.0,6576.6,0.049251253,337.10467,379.67432,0.0
59,154.0,144.0,6576.6,0.033424801,325.34709,349.62777,0.0
60,155.0,144.0,6576.8,0.076802037,244.42268,252.23891,0.0
61,156.0,144.0,6576.8,0.11341081,330.38029,364.67199,0.0
62,157.0,144.0,6579.8,0.2352966,565.79947,387.11893,0.0
63,158.0,144.0,6579.8,0.1860564,598.09551,385.2156,0.0
64,159.0,144.0,6578.8,0.27279268,388.55226,373.73638,0.0
65,160.0,144.0,6578.8,0.18366628,396.61808,338.50791,0.0
66,161.0,144.0,6577.7,0.12315702,215.63458,187.36654,0.0
67,162.0,144.0,6577.0,0.071030059,264.37065,205.78349,0.0
68,163.0,144.0,6577.8,0.13359664,545.70783,422.40896,0.0
69,164.0,144.0,6579.5,0.13702939,864.77472,-486.58045,0.0
70,165.0,144.0,0.0,0.0,0.0,0.0,0.0
71,166.0,144.0,6577.2,0.070670373,835.11596,440.67861,0.0
72,167.0,144.0,6577.2,0.023991393,552.52633,260.69573,0.0
73,168.0,144.0,6577.2,0.026906829,887.08175,431.70359,0.0
74,169.0,144.0,6577.2,0.022350538,995.36038,478.91602,0.0
75,170.0,144.0,6577.2,0.043923695,908.66922,474.18822,0.0
76,171.0,144.0,6577.4,0.039570247,929.58529,471.24848,0.0
77,172.0,144.0,0.0,0.0,0.0,0.0,0.0
78,173.0,144.0,6578.4,0.011527914,1131.6203,463.03508,0.0
79,174.0,144.0,6578.0,0.0011933824,1166.6606,447.2155,0.0
80,148.0,145.0,6575.0,0.11401722,350.09088,-460.59392,0.0
81,149.0,145.0,6579.0,0.1316196,597.74116,461.28019,0.0
82,150.0,145.0,6578.0,0.092494687,530.80915,461.53828,0.0
83,151.0,145.0,6579.9,0.082603757,728.2931,-460.83506,0.0
84,152.0,145.0,6580.1,0.068646874,699.69655,455.27145,0.0
85,153.0,145.0,6578.5,0.14268036,131.7516,180.5693,0.0
86,154.0,145.0,6576.2,0.05434346,330.65027,415.34455,0.0
87,155.0,145.0,6576.6,0.046016674,337.19591,381.13079,0.0
88,156.0,145.0,6578.8,0.13320062,347.25587,327.49822,0.0
89,157.0,145.0,6578.3,0.11671134,396.11613,384.66734,0.0
90,158.0,145.0,6578.6,0.13123671,321.87126,322.52977,0.0
91,159.0,145.0,6577.3,0.067031606,208.44278,219.10646,0.0
92,160.0,145.0,6577.8,0.15446092,199.42446,208.25869,0.0
93,161.0,145.0,6567.8,1.6234455e-11,14.787828,1.8630179,0.0
94,162.0,145.0,0.0,0.0,0.0,0.0,0.0
95,163.0,145.0,6580.0,0.31306931,531.36147,-405.37289,0.0
96,164.0,145.0,6580.0,0.2497409,678.52302,432.54695,0.0
97,165.0,145.0,6580.5,0.19017322,815.7274,445.39576,0.0
98,166.0,145.0,6580.2,0.15658774,812.38845,432.915,0.0
99,167.0,145.0,6578.2,0.053177489,788.02676,436.08035,0.0
100,168.0,145.0,6576.8,0.054459502,713.3534,-426.68256,0.0
101,169.0,145.0,6576.8,0.054821232,842.09977,469.05744,0.0
102,170.0,145.0,0.0,0.0,0.0,0.0,0.0
103,171.0,145.0,0.0,0.0,0.0,0.0,0.0
104,172.0,145.0,6577.4,0.059126021,840.08998,480.68242,0.0
105,173.0,145.0,6577.4,0.04043941,951.53616,467.94178,0.0
106,174.0,145.0,6578.6,4.1782673e-09,585.18188,433.65658,0.0
107,148.0,146.0,6580.3,0.08365834,496.37565,439.54488,0.0
108,149.0,146.0,6579.2,0.11856331,438.26471,-298.84848,0.0
109,150.0,146.0,0.0,0.0,0.0,0.0,0.0
110,151.0,146.0,6580.0,0.0047500924,649.96057,452.28063,0.0
111,152.0,146.0,6580.2,7.4515259e-06,450.83062,-315.42521,0.0
112,153.0,146.0,6580.4,5.0109978e-08,431.55177,-456.19516,0.0
113,154.0,146.0,6580.6,1.3068189e-08,193.93107,451.35509,0.0
114,155.0,146.0,6579.2,0.044226126,525.93669,430.82521,0.0
115,156.0,146.0,6579.6,0.087795083,519.91433,407.57447,0.0
116,157.0,146.0,6579.8,0.17043084,539.28529,394.78991,0.0
117,158.0,146.0,6577.9,0.16526027,303.9938,384.55279,0.0
118,159.0,146.0,6577.8,0.25459627,165.13251,235.99188,0.0
119,160.0,146.0,6577.8,0.24658217,165.91183,215.64394,0.0
120,161.0,146.0,6581.3,0.17867647,167.49642,111.92696,0.0
121,162.0,146.0,6578.0,0.16875663,194.69679,201.45252,0.0
122,163.0,146.0,6579.5,0.34588553,455.0863,-412.44635,0.0
123,164.0,146.0,0.0,0.0,0.0,0.0,0.0
124,165.0,146.0,6577.0,0.097047371,540.66479,444.22892,0.0
125,166.0,146.0,6577.2,0.044617215,588.80936,-394.5673,0.0
126,167.0,146.0,0.0,0.0,0.0,0.0,0.0
127,168.0,146.0,6577.2,0.036957488,630.17334,-372.4575,0.0

128,169.0,146.0,6577.2,0.042528711,833.29751,463.48033,0.0
129,170.0,146.0,6577.2,0.011839854,928.22919,463.70162,0.0

130,171.0,146.0,6577.4,0.063550258,807.23102,471.682,0.0
131,172.0,146.0,6577.4,0.060642091,807.41035,469.55118,0.0
132,173.0,146.0,6577.4,1.8666754e-09,208.09425,484.47717,0.0
133,174.0,146.0,6577.8,8.7912207e-09,818.52749,466.52823,0.0
134,148.0,147.0,0.0,0.0,0.0,0.0,0.0
135,149.0,147.0,0.0,0.0,0.0,0.0,0.0
136,150.0,147.0,0.0,0.0,0.0,0.0,0.0
137,151.0,147.0,0.0,0.0,0.0,0.0,0.0
138,152.0,147.0,0.0,0.0,0.0,0.0,0.0
139,153.0,147.0,0.0,0.0,0.0,0.0,0.0
140,154.0,147.0,0.0,0.0,0.0,0.0,0.0
141,155.0,147.0,0.0,0.0,0.0,0.0,0.0
142,156.0,147.0,0.0,0.0,0.0,0.0,0.0
143,157.0,147.0,0.0,0.0,0.0,0.0,0.0
144,158.0,147.0,0.0,0.0,0.0,0.0,0.0
145,159.0,147.0,6576.8,0.10512264,224.9286,337.11324,0.0
146,160.0,147.0,6576.8,0.093941294,242.60155,330.39426,0.0
147,161.0,147.0,6576.8,1.2969521e-05,0.4194423,0.02348648,0.0
148,162.0,147.0,6576.8,0.11786688,206.71358,232.31463,0.0
149,163.0,147.0,6579.0,0.20403702,451.20616,407.42416,0.0
150,164.0,147.0,6579.9,0.27673996,581.8259,433.79143,0.0
151,165.0,147.0,6578.0,0.1105149,499.45287,454.37034,0.0
152,166.0,147.0,6577.2,0.066711948,551.18706,-444.43423,0.0
153,167.0,147.0,6577.2,0.029929902,638.70216,448.72286,0.0
154,168.0,147.0,6577.2,0.0058768039,765.31306,456.11604,0.0
155,169.0,147.0,0.0,0.0,0.0,0.0,0.0
156,170.0,147.0,6577.4,1.1790847e-08,540.00864,466.2945,0.0
157,171.0,147.0,6577.4,0.0056620867,765.24267,469.83937,0.0
158,172.0,147.0,6577.4,0.023850777,878.46655,460.99177,0.0
159,173.0,147.0,6577.6,0.02359151,761.7972,483.47058,0.0
160,174.0,147.0,6578.4,7.6116364e-09,526.08557,454.39882,0.0
161,148.0,148.0,6579.2,0.42409208,345.73126,453.56659,0.0
162,149.0,148.0,6579.3,0.46486389,350.57854,451.60071,0.0
163,150.0,148.0,6579.3,0.33782762,407.16667,447.71996,0.0
164,151.0,148.0,0.0,0.0,0.0,0.0,0.0
165,152.0,148.0,0.0,0.0,0.0,0.0,0.0
166,153.0,148.0,0.0,0.0,0.0,0.0,0.0
167,154.0,148.0,6579.8,0.16607452,506.50406,455.79382,0.0
168,155.0,148.0,6580.2,2.6500404e-08,119.26754,453.4272,0.0
169,156.0,148.0,6580.6,3.5351612e-08,229.75819,427.89108,0.0
170,157.0,148.0,6580.6,9.8781595e-09,94.509546,438.08444,0.0
171,158.0,148.0,6580.8,0.01678992,518.26342,412.06934,0.0
172,159.0,148.0,6579.2,0.25233997,331.84974,406.61027,0.0
173,160.0,148.0,6579.2,0.13103381,419.40638,-428.61704,0.0
174,161.0,148.0,6579.3,0.18089367,351.70545,366.89048,0.0
175,162.0,148.0,6580.3,0.73130765,374.90073,-354.01736,0.0
176,163.0,148.0,6580.0,0.44569432,522.41587,429.29091,0.0
177,164.0,148.0,6580.0,0.31652942,644.94865,434.32834,0.0
178,165.0,148.0,6581.0,0.44400763,1061.3964,364.50619,0.0
179,166.0,148.0,6581.2,0.055659146,206.00284,83.062671,0.0
180,167.0,148.0,6580.2,0.11060582,964.9048,466.80489,0.0
181,168.0,148.0,6581.2,0.044137899,200.63363,79.718775,0.0
182,169.0,148.0,6581.2,0.034014999,174.36533,68.449493,0.0
183,170.0,148.0,6581.3,0.030177588,152.86313,66.859826,0.0
184,171.0,148.0,6581.2,0.034380194,146.37984,68.949182,0.0
185,172.0,148.0,6581.2,0.052347695,179.71303,78.263476,0.0
186,173,148, 6581.20,0.037908740,198.24495,76.047458,0.0000000#
187,174,148, 6582.20,0.22822549,1194.4538,223.33987,0.0000000#
188,148,149, 6578.90,1.1302678,188.12834,145.85525,0.0000000
189,149,149, 6578.60,0.83028121,96.122738,140.62964,0.0000000
190,150,149, 6578.60,0.52134839,79.701278,126.59260,0.0000000
191,151,149, 6578.80,0.46695059,77.368117,129.00310,0.0000000
192,152,149, 6578.40,0.37397423,56.546195,107.31581,0.0000000
193,153,149, 6578.60,0.10657794,33.104504,72.258204,0.0000000
194,154,149, 6578.60,0.096950108,33.059532,69.456586,0.0000000
195,155,149, 6578.80,0.47569036,111.60264,167.15951,0.0000000
196,156,149, 6580.10,1.9357092,104.55652,233.93298,0.0000000
197,157,149, 6580.30,1.4985982,118.01586,219.77339,0.0000000
198,158,149, 6580.30,1.3503302,134.08717,225.89324,0.0000000
199,159,149, 6580.30,1.3035111,158.63614,251.66701,0.0000000
200,160,149, 6580.30,1.1022396,195.29598,262.43417,0.0000000
201,161,149, 6580.30,1.0842983,219.90982,273.52658,0.0000000
202,162,149, 6580.60,1.0261113,259.90449,275.58641,0.0000000
203,163,149, 6580.80,0.86603108,296.31212,264.55662,0.0000000
204,164,149, 6580.80,0.63783197,483.36480,300.20944,0.0000000
205,165,149, 6579.50,0.13151573,549.50207,450.63369,0.0000000
206,166,149, 6580.20,0.24390470,703.79776,447.22039,0.0000000
207,167,149, 6579.20,0.10644209,665.88949,455.67945,0.0000000
208,168,149, 6578.20,0.042613873,832.03980,292.66443,0.0000000
209,169,149, 6580.90,0.071896341,207.13600,95.903800,0.0000000
210,170,149, 6581.10,0.066567957,191.59824,89.767456,0.0000000
211,171,149, 6581.10,0.063462299,177.72308,86.750928,0.0000000
212,172,149, 6581.10,0.066225285,203.22900,86.221021,0.0000000
213,173,149, 6580.80,0.058427953,280.20235,97.495110,0.0000000
214,174,149, 6581.40,0.15460226,499.30063,135.67951,0.0000000
215,148,150, 6578.90,1.1588904,208.94587,149.99887,0.0000000
216,149,150, 6578.80,0.66848684,94.270624,131.76091,0.0000000
217,150,150, 6578.80,0.19521262,57.552145,100.79302,0.0000000
218,151,150, 6578.70,0.60411626,53.148112,128.49046,0.0000000
219,152,150, 6578.40,0.25812569,28.448994,82.870238,0.0000000
220,153,150, 6578.60,0.13812015,21.705634,68.333247,0.0000000
221,154,150, 6578.60,0.16648112,22.963938,72.652812,0.0000000
222,155,150, 6578.60,0.16623266,25.457034,72.957692,0.0000000
223,156,150, 6579.40,2.1406266,83.493116,191.07838,0.0000000
224,157,150, 6580.10,2.0190634,86.497933,207.08456,0.0000000
225,158,150, 6580.10,1.8118861,95.579274,212.88839,0.0000000
226,159,150, 6580.30,1.6003363,106.83636,216.07948,0.0000000
227,160,150, 6580.60,1.5710894,121.30423,226.31816,0.0000000
228,161,150, 6580.50,1.4314682,200.17489,289.77188,0.0000000
229,162,150, 6580.80,1.3045504,331.71690,324.49450,0.0000000
230,163,150, 6580.50,0.88324106,329.75522,321.77498,0.0000000
231,164,150, 6580.99,0.74978957,577.41281,343.97043,0.0000000
232,165,150, 6580.60,0.44937093,545.76671,336.27854,0.0000000
233,166,150, 6579.19,0.25881259,790.90212,562.83902,0.0000000
234,167,150, 6579.20,0.10261657,509.91562,246.66186,0.0000000
235,168,150, 6577.70,4.3558943e-09,387.60383,382.33518,0.0000000
236,169,150, 6580.90,0.13327992,242.86475,114.02634,0.0000000
237,170,150, 6581.30,0.24878866,330.92989,136.77920,0.0000000
238,171,150, 6581.30,0.24257662,330.34961,133.42469,0.0000000
239,172,150, 6581.30,0.22517132,350.84367,132.36567,0.0000000
240,173,150, 6581.50,0.22288249,406.41117,139.72213,0.0000000
241,174,150, 6582.10,0.29666939,509.53853,194.49142,0.0000000
242,148,151, 6576.80,0.41148885,138.92264,186.64379,0.0000000
243,149,151, 6576.80,0.23249024,130.21216,202.47841,0.0000000
244,150,151, 6578.50,1.7953397,61.398079,149.40807,0.0000000
245,151,151, 6578.70,2.0154509,59.112693,160.88244,0.0000000
246,152,151, 6579.10,3.0584722,58.274330,179.95775,0.0000000
247,153,151, 6579.30,3.6345288,50.459837,186.45963,0.0000000
248,154,151, 6579.10,3.2220651,53.545475,178.85434,0.0000000
249,155,151, 6579.30,3.2869149,53.425669,182.32885,0.0000000
250,156,151, 6579.90,3.5852422,59.937780,207.15150,0.0000000
251,157,151, 6580.10,2.9223439,61.053615,212.44274,0.0000000
252,158,151, 6580.30,2.6702232,68.314816,214.85890,0.0000000
253,159,151, 6580.30,2.1790140,87.381406,236.94408,0.0000000
254,160,151, 6580.80,2.2460397,183.78022,301.12826,0.0000000
255,161,151, 6580.80,1.9777034,252.97220,342.22161,0.0000000
256,162,151, 6580.70,1.3697711,248.98064,331.72835,0.0000000
257,163,151, 6580.10,0.78715241,314.80176,380.13812,0.0000000
258,164,151, 6574.20,0.20083058,220.88752,150.57822,0.0000000
259,165,151, 6574.20,0.12633397,308.81397,176.48438,0.0000000
260,166,151, 6574.60,0.050093355,404.26556,172.33080,0.0000000
