#YY	XX	wav	flux		flux_err	fwhm		vel
149	142	6576.60	0.062670892	456.47258	392.52607	0.0000000
150	142	6553.00	0.49018397	1811.6654	-237.86544	289.84187
151	142	6576.60	0.058150230	391.18756 	323.61554	0.0000000
152	142	6576.80	0.028645940	394.75138	330.65600	0.0000000
153	142	6576.80	0.040103031	466.93526	401.12962	0.0000000
154	142	6576.80	0.036335176	506.20172	416.35129	0.0000000
155	142	6576.80	0.080224214	465.00444	356.12793	0.0000000
156	142	6576.80	0.078429969	497.54007	415.11647	0.0000000
157	142	6576.80	0.062078591	544.91395	414.57235	0.0000000
158	142	6576.80	0.10600740	523.62544	-432.22136	0.0000000
159	142	6576.80	0.11581777	486.28435	409.45722	0.0000000
160	142	6579.90	0.19986884	644.64183	375.57881	0.0000000
161	142	6579.90	0.17820306	695.38801	374.58731	0.0000000
162	142	6577.00	0.055251381	667.96499	428.11107	0.0000000
163	142	6577.00	0.072762815	751.23027	434.99931	0.0000000
164	142	6580.00	0.10241627	1081.1502	443.42621	0.0000000
165	142	6580.80	0.11820674	1227.1766	443.36488	0.0000000
166	142	6580.30	0.087505531	1228.7912	-433.61805	0.0000000
167	142	6581.00	0.083461507	1349.3358	440.87479	0.0000000
168	142	6580.50	0.060534691	1390.0640	428.83392	0.0000000
169	142	6578.70	0.033695032	1009.5502	-409.70644	0.0000000
170	142	6577.20	0.0068385304	1110.5875	468.37960	0.0000000
171	142	6577.40	0.0086626199	1099.2040	465.53080	0.0000000
172	142	0.0	0.0		0.0		0.0		0.0
173	142	0.0	0.0		0.0		0.0		0.0
174	142	6578.40	0.0074160244	1072.3126	414.48554	0.0000000
148	143	0.0	0.0		0.0		0.0		0.0
149	143	6576.00	0.046848155	393.17313	387.55719	0.0000000
150	143	6575.60	0.020605741	461.90953	-448.56608	0.0000000
151	143	6576.20	0.030241857	430.74331	426.67664	0.0000000
152	143	6576.60	0.019170076	366.44204	356.19596	0.0000000
153	143	6576.80	0.031219408	354.05719	335.21325	0.0000000
154	143	6575.80	0.074923039	335.65100	334.16619	0.0000000
155	143	6576.80	0.070062658	410.43701	391.04256	0.0000000
156	143	6579.80	0.038579253	764.73042	383.50553	0.0000000
157	143	6579.30	0.24262743	547.83147	404.10348	0.0000000
158	143	6578.30	0.11555591	511.13248	-405.21050	0.0000000
159	143	6578.80	0.18845516	511.01380	384.94891	0.0000000
160	143	6578.60	0.16575649	480.48703	364.47622	0.0000000
161	143	6577.80	0.15663381	486.54109	388.15962	0.0000000
162	143	6577.00	0.052366966	252.07181	137.86181	0.0000000
163	143	6580.00	0.13816891	848.20674	-413.86187	0.0000000
164	143	0.0	0.0		0.0		0.0		0.0
165	143	0.0	0.0		0.0		0.0		0.0
166	143	6577.00	0.073482847	791.60885	452.80244	0.0000000
167	143	6577.20	0.048236112	920.80874	449.34930	0.0000000
168	143	0.0	0.0		0.0		0.0		0.0
169	143	0.0	0.0		0.0		0.0		0.0
170	143	0.0	0.0		0.0		0.0		0.0
171	143	0.0	0.0		0.0		0.0		0.0
172	143	6577.20	0.013367138	1104.5938	511.04257	0.0000000
173	143	6577.40	0.029217774	1175.1547	488.81749	0.0000000
174	143	6578.20	0.010389157	1084.8943	444.54562	0.0000000
148	144	6575.20	0.055897003	436.21755	-491.26913	0.0000000
